pygame 1.9.6
Hello from the pygame community. https://www.pygame.org/contribute.html
vel: 17.85 (0.46359192728339593, -0.18730329670795953)
1 17.92 49 61
vel: 17.92 (0.4667902132486006, -0.17918397477264847)
1 17.95 50 61
vel: 17.95 (0.46984631039295266, -0.17101007166283466)
1 18.02 50 61
vel: 18.02 (0.47275928779966137, -0.16278407722857935)
1 18.05 51 61
vel: 18.05 (0.4755282581475768, -0.1545084971874715)
1 18.12 51 61
vel: 18.12 (0.478152377981516, -0.14618585236136994)
1 18.15 52 61
vel: 18.15 (0.48063084796915945, -0.13781867790849844)
1 18.22 52 60
vel: 18.22 (0.482962913144533, -0.12940952255126348)
1 18.28 53 60
vel: 18.28 (0.4851478631379962, -0.12096094779983702)
1 18.32 53 60
vel: 18.32 (0.4871850323926168, -0.11247552717193088)
1 18.35 54 60
vel: 18.35 (0.48907380036690284, -0.10395584540888336)
1 18.42 54 60
vel: 18.42 (0.49081359172383543, -0.0954044976882713)
1 18.45 55 60
vel: 18.45 (0.49240387650610273, -0.08682408883346682)
1 18.52 55 60
vel: 18.52 (0.4938441702975709, -0.07821723252011736)
1 18.58 56 60
vel: 18.58 (0.4951340343707855, -0.06958655048003237)
1 18.62 56 60
vel: 18.62 (0.4962730758206604, -0.06093467170257583)
1 18.68 57 60
vel: 18.68 (0.49726094768413986, -0.05226423163382776)
1 18.71 57 60
